scene_id,center_lon,center_lat,state 0,state 1,state 2,state 3,state 4,state 5,state 6,state 7,tree_percentage,transition_class,random_set,cover_class,CLUSTER_ID,random,Type
1746-2-e-a-1,-97.95442521,45.69850755,1039377,158,0,0,9674,0,277,16570,1.88%,1,0,c3_>=1%,2,0.179566112,Validation
1548-3-14-d-2,-98.42803221,43.55303284,1063507,0,19,8,121,2,311,4,0.02%,1,0,c1_<0.1%,0,0.666448716,Train
1613-3-e-d-1,-99.85219706,44.32669886,1050390,0,0,0,0,0,0,8442,0.80%,0,0,c2_0.1-1%,0,0.744724443,Train
1548-4-a-3-1,-97.81329456,43.3478788,1062348,190,13,198,120,252,45,2860,0.31%,1,0,c2_0.1-1%,0,0.296189045,Train
1613-3-11-9-2,-100.0700608,44.39207024,1051432,0,0,0,684,0,0,5690,0.56%,1,0,c2_0.1-1%,0,0.315451723,Train
1680-3-1-4-1,-98.97727184,45.03197779,1057286,0,0,0,56,218,23,4345,0.43%,1,0,c2_0.1-1%,0,0.35319211,Train
1614-2-13-10-3,-98.00693036,44.03530545,1061475,1843,0,219,166,0,209,2132,0.29%,1,0,c2_0.1-1%,0,0.711639957,Train
1613-3-12-b-3,-100.0339397,44.42011665,1047176,36,25,14,129,1,2,10423,0.99%,1,0,c2_0.1-1%,0,0.772351046,Train
1613-2-4-4-3,-99.16813814,43.68973904,1058198,0,0,12,2133,0,0,1567,0.22%,1,0,c2_0.1-1%,0,0.913755178,Train
1549-3-6-16-3,-97.71617504,43.42981419,1027861,0,0,0,0,0,0,38175,3.58%,0,1,c3_>=1%,0,0.823634229,Train
1615-1-17-7-1,-97.48214458,44.08705317,1054632,20,5,16,0,0,0,12407,1.16%,1,1,c3_>=1%,0,0.640544124,Train
1613-4-15-13-3,-99.58669167,44.54069515,1037232,2312,708,533,0,0,0,20106,2.02%,1,1,c3_>=1%,0,0.869075495,Train
1613-3-10-15-1,-100.287202,44.43916139,974966,0,0,0,0,0,0,82840,7.83%,0,0,c3_>=1%,0,0.271407396,Train
1549-3-e-d-1,-97.31997433,43.47917521,1010763,212,0,4463,4121,0,854,46651,4.84%,1,0,c3_>=1%,0,0.29409792,Train
1548-4-19-e-3,-97.79671238,43.66173229,1051608,893,53,495,283,93,233,12378,1.25%,1,0,c3_>=1%,0,0.472501906,Train
1614-1-7-10-1,-98.87497083,43.83095852,1039881,326,135,161,278,33,151,21980,2.11%,1,0,c3_>=1%,0,0.55810942,Train
1614-1-7-9-1,-98.79864105,43.79672324,1020245,0,0,0,1450,0,1633,39617,3.87%,1,0,c3_>=1%,0,0.783923958,Train
1548-2-4-12-4,-97.91161557,42.87186551,1052548,812,0,593,379,29,134,11531,1.17%,1,0,c3_>=1%,0,0.887431831,Train
1614-4-18-b-3,-98.02239048,44.55559631,1048063,0,0,0,638,0,107,17242,1.64%,1,0,c3_>=1%,0,0.925185823,Train
1549-1-8-10-2,-97.47024912,42.95814509,1045438,1324,83,8,457,215,296,19232,1.89%,1,0,c3_>=1%,0,0.962211638,Train
2004-1-2-18-3,-107.1126815,48.77684538,1177056,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,1,0.438613971,Train
1939-4-1-14-3,-105.1441621,48.44414214,1187979,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,1,0.459267215,Train
1936-4-f-4-4,-108.6315321,48.299462,1321240,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,1,0.461923398,Train
1934-2-c-14-2,-111.5377463,47.59061707,1307225,0,0,0,0,0,0,311,0.02%,0,1,c1_<0.1%,1,0.610838006,Train
2001-1-10-d-4,-111.2992023,48.61923862,1308592,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,1,0.78173784,Train
1942-3-2-c-4,-101.7357504,48.60727075,1049468,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,2,0.472171208,Train
1876-2-7-17-3,-100.9573597,47.40187029,1053346,0,0,0,0,0,0,314,0.03%,0,1,c1_<0.1%,2,0.609305806,Train
1745-2-4-16-2,-99.29486472,45.54645074,1060167,0,0,0,0,0,0,733,0.07%,0,1,c1_<0.1%,2,0.686840065,Train
1809-2-8-d-4,-102.0400091,46.41736829,1201212,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,2,0.73241232,Train
1679-1-17-9-1,-99.98857364,44.93379033,1059868,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,2,0.851810756,Train
1746-1-e-5-3,-98.59547328,45.6787363,1063851,0,0,0,0,0,0,141,0.01%,0,1,c1_<0.1%,2,0.940092592,Train
1743-4-a-15-1,-101.8085389,46.00291394,1052672,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,2,0.957289086,Train
1874-2-a-1-4,-103.2211179,47.22943308,1195465,0,0,0,19,0,0,216,0.02%,1,1,c1_<0.1%,2,0.705950551,Train
1811-1-18-f-1,-99.94275192,46.75598652,1058335,18,0,0,0,0,0,472,0.05%,1,1,c1_<0.1%,2,0.934085414,Train
1812-2-2-16-2,-98.30188372,46.46828706,1064613,56,0,0,151,0,0,195,0.02%,1,0,c1_<0.1%,2,0.228301514,Train
1679-1-16-10-4,-100.1814887,44.97288971,1056993,0,62,224,238,0,0,293,0.05%,1,0,c1_<0.1%,2,0.310923363,Train
1877-1-c-5-2,-100.2343959,47.43497221,1057231,28,0,0,0,0,35,476,0.05%,1,0,c1_<0.1%,2,0.755879093,Train
1809-3-a-13-4,-102.4481372,46.86914726,1198465,0,0,0,0,0,0,1635,0.14%,0,1,c2_0.1-1%,2,0.79942541,Train
1809-1-19-16-3,-102.4972356,46.70390097,1192832,0,0,0,0,0,0,6177,0.52%,0,1,c2_0.1-1%,2,0.82623756,Train
1879-1-11-c-2,-97.68180534,47.61632531,1066239,0,0,0,0,0,0,1841,0.17%,0,1,c2_0.1-1%,2,0.940972802,Train
1746-1-5-11-4,-98.52658125,45.55399298,1055063,434,16,11,0,0,0,8468,0.81%,1,1,c2_0.1-1%,2,0.962519243,Train
1747-3-16-d-4,-97.62400632,46.3607352,1063314,0,0,0,0,0,0,4802,0.45%,0,0,c2_0.1-1%,2,0.399028421,Train
1812-2-d-7-2,-98.17625319,46.59670283,1060239,0,0,0,0,0,0,4776,0.45%,0,0,c2_0.1-1%,2,0.591003015,Train
1743-1-9-2-1,-102.5033784,45.44803542,1195679,0,0,0,0,0,0,2251,0.19%,0,0,c2_0.1-1%,2,0.628581835,Train
1746-2-f-10-4,-97.9172286,45.74406523,1061464,0,0,0,0,0,0,5624,0.53%,0,0,c2_0.1-1%,2,0.984870285,Train
1679-1-11-15-4,-100.177022,44.90107449,1053043,78,0,0,15,0,2103,4629,0.57%,1,0,c2_0.1-1%,2,0.256774185,Train
1879-4-1-1-2,-97.18242521,47.7664245,1066286,38,0,0,0,0,0,4852,0.45%,1,0,c2_0.1-1%,2,0.33140985,Train
1813-3-11-10-4,-97.69713035,47.1907677,1064303,40,142,1522,1178,0,336,571,0.21%,1,0,c2_0.1-1%,2,0.560075723,Train
1813-1-12-10-4,-97.5551533,46.74059196,1064147,72,380,419,145,31,489,2427,0.30%,1,0,c2_0.1-1%,2,0.5884741,Train
1812-4-f-4-1,-97.88954507,47.03455653,1056805,0,177,63,1531,49,44,8395,0.85%,1,0,c2_0.1-1%,2,0.872484889,Train
1679-1-18-b-2,-99.92624075,44.95361492,1056358,147,6,0,14,0,44,3299,0.32%,1,0,c2_0.1-1%,2,0.907127441,Train
1747-4-15-b-4,-97.15743217,46.36548592,1061413,225,0,45,0,0,26,8475,0.80%,1,0,c2_0.1-1%,2,0.988616173,Train
1943-3-18-4-2,-100.0939177,48.98355129,778622,0,0,0,0,0,0,277993,26.31%,0,1,c3_>=1%,2,0.641050483,Train
1874-2-13-5-3,-103.2805065,47.40775996,937297,0,0,0,0,0,0,259503,21.68%,0,1,c3_>=1%,2,0.760064937,Train
1944-4-d-16-2,-98.25527049,48.91572593,1038829,0,0,0,0,0,0,27071,2.54%,0,1,c3_>=1%,2,0.8705485,Train
1808-3-14-16-4,-103.8256318,46.99685545,1169109,84,0,485,5010,4,0,17747,1.66%,1,1,c3_>=1%,2,0.660233358,Train
1943-3-f-b-2,-100.0308356,48.83962192,812245,72,0,9,0,0,0,244314,23.12%,1,1,c3_>=1%,2,0.803982302,Train
1811-1-e-10-4,-100.0245643,46.60000478,1007258,204,316,47,2,2,7,49964,4.74%,1,1,c3_>=1%,2,0.808722211,Train
1880-3-8-7-4,-96.22939107,47.88908104,542495,10663,0,0,18787,1669,0,502736,47.72%,1,1,c3_>=1%,2,0.989567728,Train
1945-2-18-1-2,-96.79514831,48.58591614,1050001,0,0,0,0,0,0,24221,2.25%,0,0,c3_>=1%,2,0.559453712,Train
1879-1-15-17-1,-97.80420038,47.7416186,1056382,0,0,0,0,0,0,11684,1.09%,0,0,c3_>=1%,2,0.786524636,Train
1812-2-d-12-1,-98.16443278,46.63300614,1048243,213,0,9,0,0,924,16655,1.63%,1,0,c3_>=1%,2,0.203258475,Train
1876-3-19-9-1,-101.2470727,48.05350107,1029345,0,0,81,0,0,0,22134,2.11%,1,0,c3_>=1%,2,0.226616481,Train
1813-1-e-7-3,-97.40906479,46.61577187,1004370,0,0,0,99,0,19238,45440,5.45%,1,0,c3_>=1%,2,0.264866267,Train
1747-3-19-4-1,-97.22140547,46.31983031,992907,31415,67,92,0,0,92,44579,5.16%,1,0,c3_>=1%,2,0.323047013,Train
1877-2-10-a-2,-99.7139758,47.55863372,1046770,110,114,102,260,60,137,11239,1.10%,1,0,c3_>=1%,2,0.352612064,Train
1876-3-4-8-4,-101.3638872,47.69499039,1028044,5123,0,1311,8,0,223,16885,1.87%,1,0,c3_>=1%,2,0.353683818,Train
1877-3-e-12-3,-100.069092,47.95673723,1025946,10,0,0,1172,536,105,29971,2.91%,1,0,c3_>=1%,2,0.406497928,Train
1943-1-e-a-3,-100.0420017,48.37530604,990149,2276,43,459,0,0,0,64775,6.23%,1,0,c3_>=1%,2,0.428624306,Train
1877-3-10-11-4,-100.4866186,48.0346741,980328,64,0,0,165,0,1233,72858,6.99%,1,0,c3_>=1%,2,0.431947964,Train
1944-1-b-a-4,-99.09341078,48.39950685,1034430,0,0,0,18767,0,0,9664,1.50%,1,0,c3_>=1%,2,0.535179507,Train
1942-1-5-b-1,-101.335703,48.15916402,1027844,176,0,0,1207,0,115,22218,2.16%,1,0,c3_>=1%,2,0.566891263,Train
1944-4-14-14-2,-97.90702281,48.99371112,1041906,0,0,121,14229,0,4202,7508,1.42%,1,0,c3_>=1%,2,0.59141083,Train
1746-2-7-13-3,-98.23516161,45.6491492,1021904,33,0,257,0,0,12190,30639,3.66%,1,0,c3_>=1%,2,0.594765174,Train
1878-4-13-1-1,-98.13130849,48.02710934,991496,6,1153,597,6905,2,40,65785,6.46%,1,0,c3_>=1%,2,0.616878622,Train
1746-1-19-16-2,-98.5406112,45.92298907,1042296,0,60,0,621,0,0,21013,2.00%,1,0,c3_>=1%,2,0.618193786,Train
1812-2-17-8-1,-98.16918753,46.77741791,1044919,93,77,33,148,9,528,19201,1.85%,1,0,c3_>=1%,2,0.631737704,Train
1945-1-8-2-4,-97.56647073,48.31594598,1002998,0,0,0,0,0,24626,41432,5.41%,1,0,c3_>=1%,2,0.659106533,Train
1809-4-6-12-3,-102.3569115,46.8734029,1154908,0,0,0,23808,0,0,21384,2.44%,1,0,c3_>=1%,2,0.694751483,Train
1880-3-18-1-2,-96.1237135,48.13407015,1066414,0,0,0,757,0,0,11239,1.07%,1,0,c3_>=1%,2,0.717922818,Train
1813-3-f-2-4,-97.27432147,47.0506615,1027509,71,120,73,525,0,12,41860,3.94%,1,0,c3_>=1%,2,0.793623005,Train
1812-4-4-14-4,-97.97764772,46.91582513,1033573,508,0,39,758,0,0,31158,2.96%,1,0,c3_>=1%,2,0.80766089,Train
1877-4-14-12-3,-99.27727417,48.06838196,1035650,0,17,2301,113,0,902,21836,2.26%,1,0,c3_>=1%,2,0.81530759,Train
1746-3-5-4-2,-98.48979951,45.94195119,1007913,102,153,37,93,109,546,55037,5.23%,1,0,c3_>=1%,2,0.82222142,Train
1942-2-7-6-4,-101.0627091,48.25114088,989969,0,0,254,2559,0,0,59794,5.78%,1,0,c3_>=1%,2,0.842544144,Train
1747-1-16-8-4,-97.61256401,45.89213367,1036042,596,0,7978,0,0,0,23504,2.72%,1,0,c3_>=1%,2,0.906142101,Train
1876-2-18-14-4,-100.6465589,47.66646775,1041250,0,0,0,2277,0,0,11153,1.13%,1,0,c3_>=1%,2,0.965973712,Train
1548-2-e-d-4,-97.91608009,43.03295416,1059952,262,10,4,0,0,0,4760,0.46%,1,1,c2_0.1-1%,0,0.080762959,Test
1549-3-5-13-2,-97.15582883,43.31947139,1064045,62,14,0,21,0,3779,171,0.25%,1,1,c2_0.1-1%,0,0.186859197,Test
1748-1-c-5-4,-96.27322457,45.70332777,1070745,0,40,0,537,0,55,2955,0.30%,1,1,c2_0.1-1%,0,0.345925848,Test
1940-1-17-1-3,-104.2989916,48.35104296,1191204,0,0,0,0,0,0,58,0.00%,0,1,c1_<0.1%,1,0.103983004,Test
2003-1-11-6-3,-108.5686431,48.87365659,1322331,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,1,0.330607096,Test
1937-4-14-f-4,-107.301433,48.54197708,1176008,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,1,0.385338175,Test
1939-3-10-15-3,-105.9608423,48.68059972,1181425,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,1,0.394216421,Test
2000-4-5-9-2,-111.4420382,48.76008025,1304160,0,0,0,0,0,0,2120,0.16%,0,1,c2_0.1-1%,1,0.207186915,Test
1939-4-8-9-1,-104.9106185,48.50487255,1174759,0,0,0,0,0,0,14299,1.20%,0,1,c3_>=1%,1,0.040604645,Test
1743-2-12-11-3,-102.0148486,45.71418398,1200098,0,0,0,0,0,0,22,0.00%,0,1,c1_<0.1%,2,0.007300846,Test
1940-4-e-8-4,-103.4666723,48.6897539,1195610,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,2,0.017819253,Test
1746-3-8-8-1,-98.79044913,46.04426706,1063548,0,0,0,0,0,0,442,0.04%,0,1,c1_<0.1%,2,0.052117718,Test
1678-4-1-18-3,-100.8865913,45.05703521,1054905,0,0,0,0,0,0,849,0.08%,0,1,c1_<0.1%,2,0.053818652,Test
1743-1-f-5-3,-102.3086035,45.55648114,1198912,0,0,0,0,0,0,113,0.01%,0,1,c1_<0.1%,2,0.071894047,Test
1745-4-3-a-2,-99.36599657,45.94108836,1059868,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,2,0.100450422,Test
1677-1-12-d-3,-102.5394863,44.77052871,1197924,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,2,0.109532761,Test
1678-3-4-3-3,-101.1602874,44.97479327,1054725,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,2,0.163170875,Test
1747-4-d-18-1,-96.83145625,46.21455892,1073292,0,0,0,0,0,0,0,0.00%,0,1,c1_<0.1%,2,0.198171551,Test
1743-1-12-16-4,-102.6440567,45.70279339,1197424,0,0,0,46,0,0,460,0.04%,1,1,c1_<0.1%,2,0.150219731,Test
1809-4-15-11-1,-102.4085004,47.13366602,1190079,0,0,0,0,0,0,10011,0.83%,0,1,c2_0.1-1%,2,0.041135408,Test
1813-2-2-b-2,-97.02908036,46.44769587,1060885,0,0,0,0,0,0,9299,0.87%,0,1,c2_0.1-1%,2,0.165728582,Test
1879-4-b-14-3,-97.09385087,48.0119112,1064269,0,0,0,0,0,0,7919,0.74%,0,1,c2_0.1-1%,2,0.217489703,Test
1812-3-9-14-1,-98.64729011,46.98590805,1054153,0,0,0,0,0,0,8783,0.83%,0,1,c2_0.1-1%,2,0.23415537,Test
1878-1-8-5-2,-98.7818587,47.38127968,1062806,0,0,0,0,0,0,1144,0.11%,0,1,c2_0.1-1%,2,0.293753709,Test
1677-3-d-17-1,-102.5771251,45.15599364,1186658,0,0,0,0,0,0,10177,0.85%,0,1,c2_0.1-1%,2,0.316743381,Test
1943-3-b-18-1,-100.504103,48.86168402,1051564,0,0,34,18,0,0,1930,0.19%,1,1,c2_0.1-1%,2,0.25283224,Test
1744-1-8-4-3,-101.3041736,45.50952461,1049080,0,0,83,0,0,0,5566,0.53%,1,1,c2_0.1-1%,2,0.339610496,Test
1876-4-17-11-3,-100.9051361,48.1113837,1007950,0,0,0,0,0,0,45662,4.33%,0,1,c3_>=1%,2,0.228006049,Test
1745-3-3-d-4,-100.0625119,45.94908618,1046154,0,0,0,0,0,18,11638,1.10%,1,1,c3_>=1%,2,0.068930737,Test
1880-2-15-b-3,-95.87149989,47.72610043,1056291,0,332,0,2496,0,326,17950,1.77%,1,1,c3_>=1%,2,0.166901774,Test
1746-2-e-8-4,-97.99318319,45.70694722,1036326,0,0,0,0,0,85,29645,2.79%,1,1,c3_>=1%,2,0.344265518,Test
1878-2-b-5-3,-98.40387727,47.48794927,1038275,67,81,15,0,0,0,27576,2.59%,1,1,c3_>=1%,2,0.379220804,Test
1878-2-3-17-1,-98.18901488,47.37383584,1041788,0,0,0,8,0,0,25257,2.37%,1,1,c3_>=1%,2,0.469902116,Test
1812-4-a-16-2,-97.92828942,47.01594152,1028138,0,0,0,0,0,47,38879,3.65%,1,1,c3_>=1%,2,0.556686816,Test
